,Date,professionalism,pbr,activity,indireturn,indistd
261,2021-09-30,31700.27759713363,8.63029,-4.588001702950846e-06,-4.93,0.0491
262,2021-10-31,10550.290750155493,8.44113,-4.230247569974831e-06,-18.63,0.0216
263,2021-11-30,3342.6443739338647,6.86877,-5.8320396941975175e-06,-6.2,0.0357
264,2021-12-31,11165.644459763958,6.44316,-1.7869467027171423e-06,-26.72,0.0291
265,2022-01-31,4423.856100748924,4.66981,-5.84692496984634e-06,3.42,0.0295
266,2022-02-28,3494.1034826647015,4.82942,-9.822823584704375e-06,9.79,0.0266
267,2022-03-31,7591.302087860128,5.30231,-4.623083735183198e-06,-7.13,0.0201
268,2022-04-30,4111.817037123737,4.77622,8.11213731181668e-07,7.43,0.024
269,2022-05-31,3850.9255406695847,5.13088,1.0916417040923676e-05,-26.15,0.0301
270,2022-06-30,4511.37855992085,3.78905,-1.172420423268375e-05,3.64,0.0213
271,2022-07-31,2036.962356664742,4.20283,4.745587031505489e-06,16.74,0.0349
