,Date,professionalism,pbr,activity,indireturn,indistd
257,2021-05-31,95705.28313670984,0.60143,-4.00750438686086e-05,-8.16,0.0219
258,2021-06-30,18152.35740607767,0.61791,-2.4556516238756702e-05,-7.11,0.0102
259,2021-07-31,6781.998096272818,0.57397,-1.4181328268428386e-05,-5.55,0.0148
260,2021-08-31,5358.359814850411,0.54211,-9.892648577205645e-06,-4.9,0.0113
261,2021-09-30,3598.157617792574,0.52234,-1.0576356162946078e-05,-7.26,0.0158
262,2021-10-31,4104.245076711617,0.48444,-2.7195219399988608e-05,-1.02,0.0185
263,2021-11-30,4843.753075015371,0.4795,-1.6328571208372418e-05,14.55,0.0282
264,2021-12-31,12913.315261365093,0.54925,-6.133271053180262e-06,-7.55,0.0176
265,2022-01-31,4045.2474940459056,0.51794,4.246922578235371e-06,3.5,0.0242
266,2022-02-28,3011.2721028859537,0.53607,5.522938299042513e-06,-1.33,0.0091
267,2022-03-31,1820.0635515314088,0.52893,-2.10127473471626e-06,3.75,0.0103
268,2022-04-30,2395.2269624206747,0.5476,7.618087072278426e-06,-2.71,0.0062
269,2022-05-31,2119.5202738085327,0.53277,-3.2614612375939775e-06,-5.95,0.0128
270,2022-06-30,2138.8756672244167,0.50311,9.877850898000755e-06,-5.01,0.0103
271,2022-07-31,1495.8907093848904,0.4795,-1.9042018036293354e-05,-2.97,0.0074
